Comapay,Position,Primary Skill,Location,Experience,Other Skills,Date
ProPMO Services Private Limited,Technical Lead,Python,Hyderabad,5-8,"['Django', 'Python', 'Image Processing']",03-11-2023
Dreamy Jobs,Data Scientist,Python,Mumbai,4-8,"['Data Science', 'Data Scientist', 'Machine Learning']",03-11-2023
Talent500,Software Backend Engineer III,Python,Pune,6-9,"['Java', 'Python', 'Microservices Architecture']",03-11-2023
Sourceone Staffing & Consulting Pvt Ltd,Senior Data Engineer,Python,Anywhere in India/Multiple Locations,5-7,"['Google Cloud Platform', 'Python', 'SQL']",03-11-2023
Ratna Global Tech,Hadoop Developer,Python,Mumbai,4-12,"['Hadoop', 'Spark', 'Hive']",03-11-2023
TIFIN,Tech Lead,Python,Bangalore,10-15,"['Python', 'Django', 'Node.js']",02-11-2023
Country Delight,Python Backend Engineer,Python,MP,2-5,"['Python', 'Django', 'Backend Architecture']",26-10-2023
Samsung Electro Mechanics,Python Developer,Python,Hyderabad,3-8,"['Python', 'API Architect', 'Microservices Architecture']",27-09-2023
Xpressbees,Data Analyst,Python,Bangalore,0-5,"['Data Analyst', 'Data Analytics', 'R']",03-11-2023
Jio,Senior Software Engineer,Python,Abu Dhabi,3-9,"['React Native', 'Python', 'MongoDB']",23-10-2023
KreditBee,Senior Software Engineer,Python,Hyderabad,2-6,"['Python', 'Flask', 'Django']",20-09-2023
Nykaa,Data Architect,Python,Anywhere in India/Multiple Locations,8-13,"['DataLake', 'Data Governance', 'Python']",19-09-2023
Nykaa,Test,Testing,Delhi NCR,3-7,"['SDET', 'Testing', 'Automation Testing']",14-09-2023
KreditBee,Senior Data Analyst,Python,Navi Mumbai,2-4,"['Data Analyst', 'SQL', 'Python']",14-09-2023
KreditBee,Lead Data Analyst,MySQL,Anywhere in India/Multiple Locations,4-6,"['Python', 'SQL', 'Data Analytics']",14-09-2023
Delhivery,Technical Lead,Python,MP,5-8,"['Python', 'Django', 'Flask']",06-09-2023
Moengage,Senior Software Engineer,Python,Bangalore,3-5,"['Python', 'AWS', 'MongoDB']",26-09-2023
CollegeDekho,Data Scientist,Python,Anywhere in India/Multiple Locations,5-10,"['Data Scientist', 'Data Science', 'R']",13-09-2023
Infra.market,Data Engineer,Python,Anywhere in India/Multiple Locations,4-8,"['Python', 'Scala', 'SQL']",06-09-2023
Edwisely,Python Developer,Python,Mumbai,1-3,"['Python', 'NoSQL', 'Django']",31-10-2023
Agicent App Company,Python Developer,Python,Hyderabad,2-4,"['Python', 'Django']",26-10-2023
Tamcherry Technologies,Python Lead,Python,Hyderabad,7-12,"['Python', 'Scrapy', 'Javascript']",27-10-2023
Amicon Hub,Python Developer,Python,Mumbai,4-8,"['Python', 'Solution Architect', 'Django']",30-10-2023
