Comapay,Position,Primary Skill,Location,Experience,Other Skills,Date
whitetable.ai,Machine Learning Engineer,Full Stack,Pune,2-5,"['Machine Learning', 'Data Science', 'Tensorflow']",30-10-2023
talentxo,Full Stack Developer,Python,Anywhere in India/Multiple Locations,1-5,"['Python', 'Django', 'Full Stack']",30-10-2023
EsyConnect,Data Analyst,API,Hyderabad,0-9,"['Data Analytics', 'Data Mining', 'Data Management']",21-10-2023
Cloud Hire,AWS Data Engineer,Python,Anywhere in India/Multiple Locations,5-8,"['AWS', 'Python', 'SQL']",30-10-2023
Olive Trees Consulting,Senior Data Engineer,C++,Anywhere in India/Multiple Locations,4-6,"['Business Intelligence', 'Big Data', 'Azure Data Factory']",28-10-2023
Careator Technologies Pvt Ltd,Data Engineer,Golang,Hyderabad,4-10,"['Snowflake DB', 'Python', 'SQL']",19-10-2023
Flexiple,Data Engineer,Artificial Intelligence,Anywhere in India/Multiple Locations,3-6,"['Data Pipeline', 'ETL', 'Python']",19-10-2023
Atai Labs,Full Stack Engineer,ETL,Delhi NCR,4-10,"['Full Stack', 'Angular 2', 'Django']",27-10-2023
Intelligence Node,Data Scientist,Azure,Gurgaon/Gurugram,3-9,"['Data Science', 'Data Scientist', 'Python']",27-10-2023
WorkIndia,Software Development Engineer II,Data Management,Gurgaon/Gurugram,3-5,"['Python', 'Javascript', 'Golang']",27-10-2023
Flexiple,Backend Founding Engineer,Azure,Bangalore,1-6,"['Node.js', 'Python']",27-10-2023
Test Triangle,Machine Learning Engineer,AWS,Gurgaon/Gurugram,0-20,"['Machine Learning', 'Data Science', 'R']",27-10-2023
Ripik.ai,Data Scientist,AWS,Mumbai,1-4,"['Data Science', 'Data Scientist', 'Artificial Intelligence']",27-10-2023
Tamcherry Technologies,Azure Data Architect,Software Quality Assurance,Bangalore,10-15,"['Azure', 'Data Architect', 'DataLake']",27-10-2023
PeopleStrong,Lead Databricks Developer,ETL,Hyderabad,4-10,"['Azure Databricks', 'Spark', 'Python']",27-10-2023
HI Tel Solutions,Data Engineer,Data Science,Gurgaon/Gurugram,5-7,"['Big Data', 'Hadoop', 'Spark']",18-10-2023
EXL,Data Engineer,Artificial Intelligence,Kolkata,4-10,"['AWS', 'Python', 'Java']",26-10-2023
CODNEXT IT,Data Engineer,Java,Gurgaon/Gurugram,6-10,"['Data Management', 'Python', 'Scala']",18-10-2023
Sumanel Technology Ventures Pvt Ltd,Senior Backend Developer,Python,Hyderabad,2-5,"['Python', 'Django', 'RESTful API']",26-10-2023
TEKsystems,Senior Data Engineer,Data Infrastructure,Bangalore,5-10,"['Python', 'Spark', 'PySpark']",26-10-2023
AJMERA INFOTECH PRIVATE LIMITED,Senior Full Stack Developer,Backend Architecture,Hyderabad,5-10,"['Full Stack', '.Net', 'Node.js']",26-10-2023
Cloud Hire,Data Engineer,Python,Gurgaon/Gurugram,5-8,"['Python', 'Scala', 'Google Cloud Platform']",17-10-2023
Factwise,Junior Backend Developer,Python,Anywhere in India/Multiple Locations,0-1,"['Python', 'Django', 'AWS']",26-10-2023
Bobble.Ai,Senior Data Analyst,Python,Bangalore,3-6,"['Data Analytics', 'Data Analyst', 'SQL']",25-10-2023
Kadel Labs Private Limited,Data Scientist,Full Stack,Anywhere in India/Multiple Locations,10-16,"['Data Science', 'Data Scientist', 'R']",17-10-2023
Forward Eye Technology,Big Data Engineer,Python,Pune,6-10,"['Big Data', 'Python', 'Scala']",25-10-2023
Talent500,Software Backend Engineer,Python,Mumbai,6-8,"['Python', 'DB', 'SQL']",16-10-2023
Flexiple,Data Engineer,Spark,Anywhere in India/Multiple Locations,2-5,"['Python', 'Data Pipeline', 'Pandas']",16-10-2023
Numantra Technologies,Full Stack Developer,Big Data,Hyderabad,4-9,[],25-10-2023
Burgeon IT Services,Full Stack Developer,Python,Anywhere in India/Multiple Locations,10-14,"['Full Stack', 'Python', 'React.js']",25-10-2023
Aivoks Technologies Pvt. Ltd.,Full Stack Developer,Python,Anywhere in India/Multiple Locations,5-8,"['Full Stack', 'Python', 'Django']",23-10-2023
Numantra Technologies,Azure Developer,Data Science,Hyderabad,3-10,[],23-10-2023
VANTAGEIQ TECHNOLOGIES (OPC) PRIVATE LIMITED,Data Engineer,Big Data,Bangalore,5-7,"['Python', 'AWS', 'Data Management']",23-10-2023
ENNOVENTURE TECHNOLOGIES PRIVATE LIMITED,Intermediate/Senior Software Engineer,Machine Learning,Bangalore,5-9,"['API', 'Python', 'Javascript']",23-10-2023
Applied Materials,Senior Software Engineer,Python,Bangalore,4-7,"['Python', 'Django', 'Flask']",23-10-2023
Arting Digital,System Developer,AWS,Anywhere in India/Multiple Locations,2-6,"['C++', 'Linux', 'Python']",14-10-2023
Vikgol,Golang Developer,Quick Base,MP,2-3,"['Golang', 'Python', 'REST API']",13-10-2023
Matellio,Artificial Intelligence/Machine Learning Engineer,Data Science,Bangalore,5-9,"['Artificial Intelligence', 'Machine Learning', 'R']",01-11-2023
Talent500,Data Architect,Python,Gurgaon/Gurugram,9-12,"['ETL', 'Python', 'Data Architect']",13-10-2023
Paccore software,Data Engineer,Python,Delhi,4-6,"['Azure', 'Python', 'Big Data']",31-10-2023
